2012-06-11 14:44:56 install grep <none> 2.6.3-3
2012-06-11 14:44:56 status half-installed grep 2.6.3-3
2012-06-11 14:44:56 status unpacked grep 2.6.3-3
2012-06-11 14:44:56 status unpacked grep 2.6.3-3
2012-06-11 14:44:56 install gzip <none> 1.3.12-9
2012-06-11 14:44:56 status half-installed gzip 1.3.12-9
2012-06-11 14:44:56 status unpacked gzip 1.3.12-9
2012-06-11 14:44:56 status unpacked gzip 1.3.12-9
2012-06-11 14:44:56 install hostname <none> 3.04
2012-06-11 14:44:56 status half-installed hostname 3.04
2012-06-11 14:44:56 status unpacked hostname 3.04
2012-06-11 14:44:56 status unpacked hostname 3.04
2012-06-11 14:44:56 install insserv <none> 1.14.0-2
2012-06-11 14:44:56 status half-installed insserv 1.14.0-2
2012-06-11 14:44:56 status unpacked insserv 1.14.0-2
2012-06-11 14:44:56 status unpacked insserv 1.14.0-2
2012-06-11 14:44:56 install lsb-base <none> 3.2-23.2squeeze1
2012-06-11 14:44:56 status half-installed lsb-base 3.2-23.2squeeze1
2012-06-11 14:44:56 status unpacked lsb-base 3.2-23.2squeeze1
2012-06-11 14:44:56 status unpacked lsb-base 3.2-23.2squeeze1
2012-06-11 14:44:56 install liblocale-gettext-perl <none> 1.05-6
2012-06-11 14:44:56 status half-installed liblocale-gettext-perl 1.05-6
2012-06-11 14:44:56 status unpacked liblocale-gettext-perl 1.05-6
2012-06-11 14:44:56 status unpacked liblocale-gettext-perl 1.05-6
2012-06-11 14:44:56 install libselinux1 <none> 2.0.96-1
2012-06-11 14:44:56 status half-installed libselinux1 2.0.96-1
2012-06-11 14:44:56 status unpacked libselinux1 2.0.96-1
2012-06-11 14:44:56 status unpacked libselinux1 2.0.96-1
2012-06-11 14:44:56 install libsepol1 <none> 2.0.41-1
2012-06-11 14:44:56 status half-installed libsepol1 2.0.41-1
2012-06-11 14:44:56 status unpacked libsepol1 2.0.41-1
2012-06-11 14:44:56 status unpacked libsepol1 2.0.41-1
2012-06-11 14:44:56 install libtext-charwidth-perl <none> 0.04-6
2012-06-11 14:44:56 status half-installed libtext-charwidth-perl 0.04-6
2012-06-11 14:44:56 status unpacked libtext-charwidth-perl 0.04-6
2012-06-11 14:44:56 status unpacked libtext-charwidth-perl 0.04-6
2012-06-11 14:44:56 install libtext-iconv-perl <none> 1.7-2
2012-06-11 14:44:56 status half-installed libtext-iconv-perl 1.7-2
2012-06-11 14:44:56 status unpacked libtext-iconv-perl 1.7-2
2012-06-11 14:44:56 status unpacked libtext-iconv-perl 1.7-2
2012-06-11 14:44:56 install libtext-wrapi18n-perl <none> 0.06-7
2012-06-11 14:44:56 status half-installed libtext-wrapi18n-perl 0.06-7
2012-06-11 14:44:57 status unpacked libtext-wrapi18n-perl 0.06-7
